Demanda;Tester;CT;STM;Fluxo UC;Planejamento;Execucao;Desenvolvedor
10938012;;89584;72937;FA3. Autoriza Proposta e/ou Lote;OK;Erro;Everson
10938012;;89603;72964;FA4. Desautoriza Proposta e/ou Lote;OK;Erro;
10938012;;88736;72817;FB. Autorizar Excecao Proposta de Empreendimento;OK;Erro;Everson
10938012;;89505;72861;FA1. Altera dados complementares do empreendimento;OK;Erro;Everson
10938012;;89508;72863;FA3. Detalha condições especiais ;OK;Erro;Everson
10938012;;89511;72867;FA30. Altera situacao para “Vistoria Concluída”;OK;ERRO;
10938012;;89547;72902;FA16. Altera situacao para “Laudo finalizado”;OK;OK;
10938012;;89552;72906;FA1. Altera Carencia PJ;OK;ERRO;Cristiano
10938012;;89570;72923;FA8. Cancela encaminhamento de proposta e/ou documentos;OK;ERRO;Everson
10938012;;89585;72936;FB. Consulta Encaminhamentos de Proposta e/ou Documentos ;OK;OK;
10938012;;89596;72944;FA5. Gera número de contrato para Administracao;OK;OK;
10938012;;89597;72946;FA6. Recebe proposta e/ou documentos;OK;OK;
10938012;;89413;72787;FB. Solicita suspensão da proposta;OK;OK;
10938012;;89415;72789;FA6. Solicita Alteracao da Etapa da Proposta;OK;ERRO;
10938012;;89418;72792;FA5. Efetiva reativacao da proposta;OK;OK;
10938012;;89425;72796;FA1. Efetiva suspensão da proposta;OK;OK;
10938012;;89280;72705;FB. Consulta Solicitacao de Processamento da Proposta de empreendimento;OK;ERRO;Cristiano
10938012;;89303;72712;FA4. Consulta Solicitacao de Proces samento da proposta vinculada ou proposta individual;OK;OK;
10938012;;89381;72769;FA1. Detalha a solicitacao do processamento;OK;OK;
10938012;;89390;72774;FA3. Visualiza lista de mensagens da proposta ou da migracao;OK;OK;
10938012;;89393;72777;FB. Confirma Assinatura;OK;OK;
10938012;;89399;72780;FA1. Finaliza Proposta;OK;OK;
10938012;;89403;72782;FA2. Cancela confirmacao da assinatura ;OK;OK;
10938012;;89410;72785;FA6. Reverte Contratacao da Proposta;OK;OK;
10938012;;89600;72954;FA8. Altera clausulas adicionais;OK;OK;
10938012;;89665;73038;FA2. Baixa Documento;OK;ERRO;Everson
10938012;;89626;72993;FA3. Cancela emissão de Documentos ;OK;ERRO;Everson
10938012;;89621;72984;FB. Emite Documentos da Proposta Individual;OK;ERRO;Everson
